row_index,sentence_id,aspect,sentence,proxy_label,rating,label_source,sent_pred,teacher
2,1,fit,i initially ordered the petite small (my usual size) but i found this to be outrageously small.,neutral,3,model_relabel,1,doc+sentence_consensus
2,4,fit,"overall, the top half was comfortable and fit nicely, but the bottom half had a very tight under layer and several somewhat cheap (net) over layers.",neutral,3,model_relabel,1,doc+sentence_consensus
2,4,price,"overall, the top half was comfortable and fit nicely, but the bottom half had a very tight under layer and several somewhat cheap (net) over layers.",neutral,3,model_relabel,1,doc+sentence_consensus
7,4,fit,"also a bit loose for me, but no xxs...",positive,4,rating,2,doc+sentence_consensus
7,5,fit,so i kept it and wil ldecide later since the light color is already sold out in hte smallest size...,positive,4,rating,2,doc+sentence_consensus
8,1,fit,i usually get an xs but it runs a little snug in bust so i ordered up a size.,positive,5,rating,2,doc+sentence_consensus
9,3,fit,"if you're less busty (34b cup or smaller), a s petite will fit you perfectly (snug, but not tight).",positive,5,rating,2,doc+sentence_consensus
9,5,quality,i love that the tulle is longer then the fabric underneath.,positive,5,rating,2,doc+sentence_consensus
10,2,price,the material on the top looks and feels very cheap that even just pulling on it will cause it to rip the fabric.,negative,3,model_relabel,0,doc+sentence_consensus
10,2,quality,the material on the top looks and feels very cheap that even just pulling on it will cause it to rip the fabric.,negative,3,model_relabel,0,doc+sentence_consensus
12,2,quality,"the dress is beautifully made, lined and reminiscent of the old retailer quality.",positive,5,rating,2,doc+sentence_consensus
12,3,quality,it is lined in the solid periwinkle-colored fabric that matches the outer fabric print.,positive,5,rating,2,doc+sentence_consensus
13,1,fit,"my stats are 34a-28/29-36 and the xs fit very smoothly around the chest and was flowy around my lower half, so i would say it's running big.",positive,5,rating,2,doc+sentence_consensus
15,5,quality,"sturdy, linen-like fabric, pretty color, well made.",positive,4,rating,2,doc+sentence_consensus
17,5,fit,fits great.,positive,5,rating,2,doc+sentence_consensus
18,2,fit,"i am 5' 5'', about 135 and the small fits great.",positive,5,rating,2,doc+sentence_consensus
19,2,fit,i'm small chested and the top of this dress is form fitting for a flattering look.,positive,5,rating,2,doc+sentence_consensus
20,2,fit,fits nicely!,positive,4,rating,2,doc+sentence_consensus
20,4,fit,the tie can be front or back so provides for some nice flexibility on form fitting.,positive,4,rating,2,doc+sentence_consensus
21,4,fit,"i would say it is true to size, it is a tad bit big on me, but i am very tiny, but i can still get away with it.",positive,4,rating,2,doc+sentence_consensus
21,8,price,"i keep going back and forth on it mainly because of the price, although the quality is definitely there.",positive,4,rating,2,doc+sentence_consensus
21,8,quality,"i keep going back and forth on it mainly because of the price, although the quality is definitely there.",positive,4,rating,2,doc+sentence_consensus
22,3,fit,"second of all, the tulle feels and looks cheap and the slip has an awkward tight shape underneath.",negative,2,rating,0,doc+sentence_consensus
