row_index,sentence_id,aspect,sentence,proxy_label,rating,label_source,verdict
2331,4,quality,"i have to say the medium was so oversized, it looked like i was wearing a fabric box.",positive,5,rating,
11593,1,fit,"beading is sewn on tightly, and the stitching on the embroidery has no loose ends.",positive,5,rating,
11954,1,quality,good material and flatting!,positive,4,rating,
9381,1,fit,the fit is always true to size.,positive,5,rating,
11716,2,fit,"this brand can run big, so i usually buy a size 2 rather than my normal size 4.",negative,2,rating,
21512,3,fit,fit is good w/ some room to spare.,positive,5,rating,
15599,0,fit,I ordered size medium in the blue color.,positive,4,rating,
20324,1,quality,i feel the t shirt material is entirely too thin for the price.,neutral,3,model_relabel,
6371,2,fit,size runs 2 sizes too small.,positive,4,rating,
1505,1,fit,"based on the reviews, i ordered my regular size, medium.",positive,5,rating,
5860,6,fit,i did find it ran large and wish there was an xxs available.,positive,4,rating,
10928,3,fit,the top does indeed run large.,positive,5,rating,
6880,0,quality,Like the style of a blazer but the fabric of denim.,positive,5,rating,
8385,9,fit,"i normally wear a small in this brand, and that is true for this top as well.",positive,5,rating,
22525,0,quality,The fabric and color is stunning.,positive,5,rating,
17260,5,fit,the fit was spot on.,positive,4,rating,
20869,1,quality,"however, i only got to wear it one time because after the first wash, a giant fabric tear happened on one of the seams.",negative,1,rating,
9239,0,quality,"These jeans are great quality, but they just hit too low for me to be comfortable.",positive,4,rating,
18600,4,fit,i love the fit but i also loved the color.,positive,5,rating,
4968,1,fit,"great fit, can't see up the sleeve, perfect length, just right amount of fabric for draping.",positive,5,rating,
19741,3,fit,this is a slim fit.,neutral,3,model_relabel,
8073,0,quality,The material feels substantial and decent.,neutral,3,model_relabel,
22504,3,fit,"can be styled so many ways-- looks great with a cropped denim jacket, belted, or loose with a long necklace.",positive,5,rating,
9450,4,fit,it fits nicely and is very slimming.,positive,5,rating,
10546,0,quality,"I like this dress a lot, the fabric is nice, the necklines are unusual and flattering but there is definitely some added volume at the hips with the pockets.",positive,4,rating,
10086,0,fit,I'm so disappointed with the fit of this top.,negative,3,model_relabel,
22201,1,fit,i ordered a size 10 to accommodate my bust (36d) which it did but the rest of the dress was too big.,positive,4,rating,
8586,5,price,i waited for sale plus promo and it was then worth the purchase.,positive,4,rating,
7962,2,fit,a smaller size may keep its shape better so you may want to size down.,negative,3,model_relabel,
16172,1,quality,"however, it is made of an uncomfortable sweater-like material not left of centers normal skin cotton.",negative,2,rating,
19620,1,fit,even the sleeves were tight.,negative,2,rating,
1709,3,fit,i'm normally between size 6 and 8.,positive,4,rating,
18867,2,quality,the overall quality of the dress is great!,positive,3,model_relabel,
16093,1,fit,fits on the fitted side but i love it with a vest layered over.,positive,5,rating,
12990,8,price,even better with the sale price.,positive,5,rating,
15461,0,fit,"This top fit me great across the bust - true to size there, however, it was very loose other than that (outside of the peplum of course).",neutral,3,model_relabel,
10005,1,quality,it hangs beautifully on your body and the fabric is extremely comfortable the tie at the waist is really flattering and the neckline adds a little bit of fun.,positive,5,rating,
16734,1,fit,"it's loose through the body and arms, but the sleeves are the perfect length.",positive,5,rating,
22337,7,fit,i like the way the medium fit.,positive,5,rating,
3088,0,fit,"I ordered this top in ivory in 2 sizes, because i'm in between and it looks so great in the photos and didn't want to risk it selling out while i debated sizing.",positive,5,rating,
12558,4,fit,i'm usually a size 8 and while it was fitted (not loose like on the model) i know they will stretch.,positive,5,rating,
21749,6,fit,"i love the design and fit, but the plain boring sweatshirt was not what i",neutral,3,model_relabel,
21846,4,fit,"it does have pockets which are amazing, but overall, just wasn't a good fit.",neutral,3,model_relabel,
7055,1,price,"but the material feels cheap (at least not what you'd expect for the price), and as other reviewers have mentioned, it's just a tad too short.",neutral,3,model_relabel,
18031,0,fit,"Great fit, very soft fabric, and the sleeves are long enough!!",positive,5,rating,
19209,4,fit,it fits loose but not in a bad way.,positive,5,rating,
16898,2,quality,"my torso is a bit barrel chested with a large bust so the fabric both wrapped and billowed out unattractively, causing the waistband to ride up and the skirt to pouf out over my tummy.",positive,4,rating,
6394,0,fit,Very pretty but runs tight - i usually wear an 8 or small/med in retailer jackets and couldn't zip up the 8 (am a 36c and thick/broad at the top) as there is no give.,neutral,3,model_relabel,
14624,0,fit,"I tried this on in store but didn't purchase it due to price, then kicked myself afterwards when my size was sold out online.",positive,5,rating,
18849,3,fit,"the dress does run a little small, i think - i normally am an extra small, but the small fit me very well.",positive,5,rating,
19821,4,fit,"i wish i had known before i ordered, but i'm exchanging them for a medium and i hope those fit better, because this suit is ador",positive,4,rating,
4213,3,fit,"i am a petite girl and normally wear a 0 or 2 in retailer dresses, and, as the other reviewers mentioned, this runs small, so a 4 was what i needed, and even the 4 does not leave any wiggle room.",positive,5,rating,
19431,5,fit,"i'm 5'5"" and the petite medium fits me as pictured.",positive,5,rating,
4360,0,fit,"I bought this top in the store, which was good because i ended up wearing a size smaller than i usually do.",negative,2,rating,
3941,7,fit,i am usually between a small and medium and this is a little on the smaller side.,positive,5,rating,
16213,2,quality,the fabric was pretty but just hung without any resemblance to photo.,negative,3,model_relabel,
6595,0,fit,"I originally bought this in medium, my normal size.",positive,4,rating,
4127,4,fit,i thought the top would be too big in a larger size but it still looks good.,positive,5,rating,
4766,0,fit,"Fyi to help with sizing i am 5'7"" weigh 134 lb and like things loose fitting but the medium was too big and sack like.",positive,3,model_relabel,
11763,1,quality,just the right length and fabric weight.,positive,5,rating,
