final_text,sentiment
absolutely wonderful silky sexy comfortable,positive
love dress sooo pretty happened find store glad bc never would ordered online bc petite bought petite love length hit little knee would definitely true midi someone truly petite,positive
high hope dress really wanted work initially ordered petite small usual size found outrageously small small fact could not zip reordered petite medium ok overall top half comfortable fit nicely bottom half tight layer several somewhat cheap net layer imo major design flaw net layer sewn directly zipper c,neutral
love love love jumpsuit fun flirty fabulous every time wear get nothing great compliment,positive
shirt flattering due adjustable front tie perfect length wear legging sleeveless pair well cardigan love shirt,positive
love tracy reese dress one not petite foot tall usually wear p brand dress pretty package lot dress skirt long full overwhelmed small frame not stranger alteration shortening narrowing skirt would take away embellishment garment love color idea style not work returned dress,negative
aded basket hte last mintue see would look like person store pick went teh darkler color pale hte color really gorgeous turn mathced everythiing trying prefectly little baggy hte x hte msallet size bummer no petite decided jkeep though said matvehd everything ejans pant skirt waas trying kept oops,positive
ordered carbon store pick ton stuff always try used top pair skirt pant everything went color really nice charcoal shimmer went well pencil skirt flare pant etc compaint bit big sleeve long go petite also bit loose no xx kept wil ldecide later since light color already sold hte smallest size,positive
love dress usually get x run little snug bust ordered size flattering feminine usual retailer flair style,positive
lb ordered petite make sure length long typically wear x regular retailer dress less busty b cup smaller petite fit perfectly snug not tight love could dress party work love tulle longer fabric underneath,positive
dress run small esp zipper area run ordered sp typically fit tight material top look feel cheap even pulling cause rip fabric pretty disappointed going christmas dress year needless say going back,neutral
dress perfection pretty flattering,positive
find reliant review written savvy shopper past right estimation product case dress not reveiws doubt would even tried dress beautifully made lined reminiscent old retailer quality lined solid periwinkle colored fabric match outer fabric print tt form fitting fall knee not rid,positive
bought black x go larkspur midi dress bother lining skirt portion grrrrrrrrrrr stats x fit smoothly around chest flowy around lower half would say running big strap pretty could easily nightwear came knee,positive
nice choice holiday gathering like length graz knee conservative enough office related gathering size small fit well usually size small bust opinion run small larger bust definitely size perhaps waist big problem dress quality fabric terrible delicate netting type fabric top layer skirt got stuck zip,neutral
took package wanted fit badly could tell put hour glass figure straight waist way small body shape even sized could tell would still tight waist roomy hip said really nice sturdy linen like fabric pretty color well made hope make someone happy,positive
material color nice leg opening large length hit right ankle leg opening size waist hem line ankle front pleat make fluffy think imagine not flattering look least average height taller may look good,neutral
took chance blouse glad crazy blouse photographed model paired whit white pant worked perfectly crisp clean would describe launders well fit great drape perfect wear tucked go wrong,positive
flattering super cozy coat work well cold dry day look good jean dressier outfit small fit great,positive
love look feel tulle dress looking something different not top new year eve small chested top dress form fitting flattering look steamed tulle perfect ordered xsp length perfect,positive
product petite would get petite regular little long tailor simple fix fit nicely lb pregnant bough medium grow tie front back provides nice flexibility form fitting,positive
upset price dress thought embroidered no print fabric think cried little opened box still ver pretty would say true size tad bit big tiny still get away color vibrant style unique skirt portion pretty poofy keep going back forth mainly price although quality definitely except wish emb,positive
first not pullover styling side zipper purchased knew side zipper large bust side zipper next impossible second tulle feel look cheap slip awkward tight shape underneath not look like described sadly returning sure find something exchange,negative
cute little dress fit tt little high waisted good length height like dress not love dont think look feel cheap appears pictured,neutral
love shirt first saw sure shirt dress since see wear like dress need slip wear legging bought slip wore tie back rocked white wedge could also wear vest careful button fall yet feel like overall great occasion fun wear,positive
loved material didnt really look long dress purchased large medium im atleast material foot gap front much wider look felt like dress fell flat returned im usually large med fit better jean,neutral
waiting sweater coat ship week excited arrive coat not true size made look short squat sleeve wide although long light weight fall coat sleeve need wide layerng much underneath button need moved least three inch nicer fit thought redoing button sleeve looked even proportion tigh,negative
color expected either dark blue much vibrant find anything really go fabric thick good quality nice weight movement skirt end,positive
several goodhyouman shirt get many compliment especially one say forehead kiss underrated hesitate buy shirt sorry,positive
sweater comfy classic balance quirky hand knit look beautiful color practical fit bit cropped boxy part style others mentioned gap knit make see opinion make perfect layering like longer camisole showing underneath wearing little dress warm still thin enough fit jacket coat,positive
beautifully made pant trend flared crop much cuter person love,positive
never would given pant second look online person much cuter stripe brighter fit flattering crop cute flare right trend brand always run small lb carry chubbiness belly paired collarless loose navy blazer,positive
pant even better person downside need dry cleaned,positive
ordered month ago finally came back order huge disappointment fit much issue quality wool subpar someone else mentioned quot felted wool quot guess call literally feel like felt super thin itchy drape well feel cheap made china got sale still not worth paid definitely going back,negative
neat dress color great fabric super soft tall long length added bonus definitely need something underneath since front gap going pair funky tank top necklace boot super cute,positive
given second look tried store whim love love,positive
comfortable skirt span season easily not exciting design good work skirt paired many top,positive
ordered small size medium mom size gorgeous beautifully draped weight warmth need houston fall winter look polished snapped unsnapped age appropriate mom look amazing skinny jean legging ordered gray true photo,positive
super cute comfy pull sizing accurate material little bit stretch,positive
great casual top flare look cute grey pilcro stet jean flattering peplum back nice cut shoulder neckline,positive
pretty unique great jean worn work slack heel color print embroidery lovely reasonably priced,positive
beautiful top unique not ordinary bought usual medium found fit tight across chest although baby year nursing could bought would size,positive
poncho cute love plaid check design color look like sorbet cream pair well turtleneck jean pencil skirt heel love look fall roll right spring great buy,positive
first thermal naturally expect super sheer really sheer light fabric like prepared considering might run walk around house second large ordered size nice oversized fit pound want go larger along sheer fabric easily stretched mind case finally color look white monitor show colorful blue dot,positive
tried today local retailer comfortable flattering bad picture online model tucking skirt see ruching across front little dressier alternative plain tee reasonably priced retailer generally wear small fit well probably back black,positive
bought item online fit model looked little loose got mine seemed bit tight took back store ordered larger size sale price great top,positive
love top wear time problem tell wear time fabric started fade still recommend comfortable,positive
comfortable material good cut sleeve flattering,positive
sweater perfect fall roomy warm super comfy color really pop,positive
really cute top embroidery collar bib top beautiful unique received lot compliment question got rather busty top medium fit well small probably would fit better still super adorable,positive
cute top transition easily summer fall fit well nice print comfortable tried store not purchase color washed not best color blonde would look much better brunette different color likely would purchased,positive
absolutely love bib tee probably favorite retailer purchase time pound small perfect fit typically wear either top,positive
love color style material snag easily,neutral
soft comfortable shirt unusual asymmetrical seam appears along front right hand side garment model positioned see detail picture attached picture includes front seam actually like seam creates visual interest add little bit ruching help hide belly cowl neck well done two layer form cowl found mean wardrobe malfun,positive
nice top armhole bit oversized older woman picky print pretty unusual look great slight peplum back hang nicely lightweight tee fabric opaque tried black bra barely visible great warmer climate many gorgeous top decided return since summer winding recommend,positive
adorable top find extremely comfortable usually buy print one feminine look great dark wash jean medium perfect fit,positive
pregnant thought would great sleep bra soft fit okay zero support shape would buy b cup smaller get away without support would seen store would passed however lazy return wearing comfortable redeeming quality would not recommend larger chested lady though,negative
tank fit well loved ruffle back layed front not good look retuning,neutral
got petite length size fit right like altered length wear flat plenty clearance floor bottom hem beef design height waist personally think elastic waistband look cheap really need concealed belt yet sits high literally right bustline tricky one pull wide belt sort th,positive
looking bralettes provide support not binding tight night time casual wear light weight bra could little supportive pretty color nice line downside retailer tag back itchy need remove,positive
dress simply beautiful stunning figure flattering wait wear size small worked since tall fell right ankle perfect could not happier purchase keyhole back beautiful detail,positive
tag sewn small long huge x itchy cut thread left behind plasticy even itchy make intimate item itchy tag not comfortable also love bralettes wear time including work b cup however one thin flimsy give no support even b cup would lounging bralette itchy,negative
recently got sale looking forever wish list happy comfortable long enough torso pattern front flattering,positive
comfortable shirt light weight top lovely floral color great spring summer white jean love everything one september make,positive
loved top really happy find sale,positive
beautiful top delicate wore school strap backpack caused pilling beautiful vibrant make sure wearing anything rub continuously since fabric delicate,positive
received mail tried smitten usually l sometimes xl no stretch retailer top bought one l sure glad flowy stretchy comfortable also bought meda lace top one september similar expect shirt blouse almost think could gotten lot extra fabric chest usually never issue,positive
love top kept eyeing online wavering size since post baby body little wonky went xsp miraculously work perfectly would say run little large love length usually not go petite size retailer like longer length regular perfect give top look lovely soft comfortable go top season,positive
really loved top online wanted love person soft patter okay person neckline higher used also two button back must unbuttoned order wear top difficult button behind neck top unfortunately return item,negative
really wanted work ala strange fit strap would not stay weird fit breast worked standing minute sat fell shoulder fabric beautiful loved pocket,neutral
top cute massively babydoll shaped line not apparent picture measured x chest sweep would definitely keep top hung straighter craftsmanship lovely fabric natural handwoven looking thinking asking tailor take side might ruin fabric layout cut proportioned swing style,positive
designer keep making crop top imagine would flattering anyone especially someone average height well endowed top looked like football player pattern fabric gorgeous like tall super tiny fit xx may work fit small huge almost bigger bottom top weird cut cami underneath ride show,negative
short torso work well c bought not much stretch fabric fitted chest not uncomfortable way definitely hang extra fabric like model zipper go almost way bottom easier get make lack stretch n fabric unlike another reviewer found went really well navy pant wore business meeting blazer wi,positive
love top loose comfortable not sheer need cami run little large size want tailored fit criticism catch sharp jewelry belt pull not careful,positive
passed dress many time store finally tried today wanted casual dress traveling cape surprised much cuter hanger sized get fitting look really made difference style not fan way looked loose model look really cute fitted bit sexy even lined comfy dressed work cardi believe get lot wear,positive
drawn baby doll boxy shirt immediately tried store petite usually shirt lot fabric swallow whole one still cute lot fabric picture let think still super cute flattering would definitely check size chart read comment see someone size description recommended specific size body type petite weigh lb,positive
would loved dress bust waist little fitted c top big fit perfectly hip lace material mean cannot easily altered chose return dress would definitely kept better fit,positive
zipper broke piece first time wore disappointing since love design actually going try replace zipper something stronger annoying come,negative
usually size brand small perfect lb top luxurious casual feel beautiful obsessed want wear everyday wear little long drapey little tight roll arm,positive
dress adorable perfect casual look summer quality nice lining though still overpriced opinion tie detail somewhat adjustable found normal size fit fine get fact dry clean totally make sense dress essentially fancy tshirt summer might bring back alone since originally planned wear lot,positive
usually petite since dress not come petite tried fit lb dress hit rt knee hemmed bit not overwhelming dress look stunning great vibrant color dark hair make classic elegant dress look contemporary stylish tried store salesperson others happen see raved told grab glad plan wear spring daughte,positive
loved top great design comfortable unique soft material,positive
rest reviewer right color accurately pictured ordered dark orange color recieved dark cedar brown colored jacket print great love different jacket ive seen jacket ber cute bit bulky though waist tie help not heavy winter appropriate not waterproof heavily insulated average winter day though fun option removable v,positive
purchased top antro store last week quality wonderful greenish blue color unique blouse beautiful stretchy camsiole attached shoulder removed snap tooks great worn two different way wore campole peek blouse bottom also look great camisole worn wish would come petite size touch big shoulder neckli,positive
received shirt typical x fit perfectly not crazy love also dislike shirt thin side need wear cami underneath no concern hole remind material could develop hole wear wash said wash shirt cold water hang dry hopefully prevent hole developing length fine like slit front add little dim,neutral
really hoping like not look way model least not sharkbite hem much pronounced looser one photo look like pinned back usually wear medium large got medium lot material bottom half photo show made look bigger not flattering material nice weave thin delicate bought holly deep olive blue color,negative
tried sale section usually surprisingly size right fit fitted enough room eat te blue light blue almost neutral white embroidery think looked stylish decided keep peplum part hit right spot short petite torso normal size,positive
debated n think look loose model tighten look lot flattering tried x store usually decide need petite looked huge pinched back see xx would work lot fabric looser look good like dress overall still recommend like looser look great would however order eptite lb dd che,positive
really cute piece huge ordered xx petite unfortunately extremely wide not flattering returning,negative
bought top online burnt orange color excited get tried fit fine lacked something back little bit long front little bit short lacked overall tailored look gorgeous fabric top not wanted something bought velvet tunic instead,positive
love cute summer dress one especially made linen unique well made design quite flattering foot little curvy c bust got size fit well although difficult zip material no give perfect dress wear italy france book ticket,positive
top much prettier real life model pattern texture lovely peplum surprisingly flattering definitely short side think give modern look fabric not stretch still think fit tt large chest may want go size otherwise would order normal size,positive
,positive
,positive
shirt caught eye beautiful love shape design color perfect spring summer white pant unfortunately see possibility shirt worn way far work jean skirt short usually prefer item versatility outfit still fence going keep not aside seriously great quality shirt beautiful,positive
purchased top online received pleased elegant cut yet casual fabric love sleeve run longer ad overall look also loved v neckline enhances feel overall style various necklace top limitless option color state moss usually think greenish brown found taupe would liked green tone however still fantastic f,positive
usually wear medium bought small fit ok no shape not flattering love baby doll dress top tent daughter saw try said piece tablecloth going back,negative
excited order top red x cute huge shapeless support thin go back looked review,negative
,positive
need easy comfortable top everyday wear bought top mostly cute button received looked exactly picture online however button kept slipping home hole slightly big shirt fit tad snug near upper arm would stretch loosen throughout day definitely comfortable shirt felt like pajama top going back,neutral
first sure neckline much lower wavy thought wearing really comfortable stretch lot wear cami underneath lean forward not showing world torso,positive
find brand little bit place size tried person may bought small instead despite bit big still look great hide flaw well bought another shirt seamed scoop neck shirt full inch smaller bust something keep mind still great shirt love neutral color,positive
top absolutely stunning purchased white one received fit nicely little big side believe look better way look great everything well constructed look unique love,positive
fabric felt cheap find flattering top reference wearing medium photo measurement,negative
run big looked unflattering petite might work someone taller,negative
bought lovely silk velvet shirt quot sky quot color teal blue side sky blue disappointed definitely darker appears photo still luxurious well made beauty sassy appeal drape like snake slithering body come attitude,positive
excited order beautiful shirt color sky gorgeous another reviewer said run small also way short sadly returning gave star beautiful great quality fit,positive
ordered ivory xl brand tends run tight well endowed beautiful color love contrasting plaid lining inside collar cuff decided keeping look oversized cozy really long almost touch top knee back sooooo pretty though,positive
shirt exactly pictured burnt orange color love received numerous compliment paired jean tucked fun skirt fit true size normally wear small retailer however slightest bit tight shoulder would give top,positive
perfect dress hot humid sticky weather,positive
thin poor quality especially price felt like thin pajama top button terrible little shell button could not returned faster,negative
end keeping dress right cute fit well fabric thin partially lined plus hem line coming side made short ordered petite x liked length front back well side slit vent high liking tie part hit perfect spot guess love would rather save fund something ca,neutral
read first review ordered small medium thought would run small totally disagree reviewer find top run true size even generous sky color pretty top dressed nice heel necklace comfy casual usually wear small hh brand one true fit broad shoulder lb,positive
dress comfortable stylish time run true size lb got x petite wore far hour got compliment,positive
design shape dress quite flattering flirty feminine no way dress received new color faded washed red black stain belt area no tag fabric look droopy laundered not crisp stiff new disappointed quality item received undoubtedly one going back dear retailer please make sure not send pre owend clothing article,negative
one totally worked love color length style,positive
prior reviewer nailed summary dress definitely need heel size usually wear size retailer stuff,positive
perfect summer dress dressed quality linen fabric nice hit right knee found run true size smaller bust might want go size tie front adjusted lovely,positive
first fabric beautiful lovely spring summer really wanted like top fitting awkward typically x sized shirt size tight pulled funny across chest size also found cut shoulder narrow need strapless bra made look unflattering overall return one back store,negative
color perfect fall winter inside collar photo show subtle plaid lining lining unexpected bonus add even dimension shirt sleeve turned fit true size stressed velvet fabric current season going enjoy wearing shirt,positive
perfect striped shirt cute little button front wonderful accent one different love,positive
great look wear vest almost everything normally wear small medium fit fine like tied stay closet year round look like wrinkle easily bother must buy,positive
great pull dress easily dressed wear work bbq happy hour large chest sometimes make fit look like tent fabric drape nicely thing would note neckline slightly higher model,positive
reading previous review ordered size larger glad fit perfectly dd went regular beautiful wait wear,positive
excited try top since bargain neutral unfortunately shape line accentuates hip area bit find flattering returned,neutral
