review_id,sentence_id,sentence,aspects
0,0,"The material, deep color and design are gorgeous.",quality
0,1,"however, the dress is just too bulky for my 5'2"" and 110lb frame.",
0,2,"i ordered a 0p, and it just wasn't flattering on me.",
0,3,it's somewhat tent-shaped so the fact that it's not at all fitted and has a thick lining made me look larger than i actually am.,fit
0,4,i'm so disappointed because the dress really is beautiful otherwise.,
1,0,"This sweater looks soft and flowy on the model, but in the store it is rather stiff lace in the back and very plain in the front.",
1,1,i did not like the ribbing on the front bottom of the sweater because it pulled in places and didn't lie flat.,
1,2,way too expensive for what you are getting.,price
2,0,"This top was so beautiful, exactly like the image shows but the waist was so tight.",fit
2,1,it was uncomfortable enough that i am going to return it.,
2,2,sad because the top and arms fit great.,fit
2,3,i am an hourglass so my waist is very small compared to my top and bottom.,fit
2,4,"oh well, next time!!",
3,0,"I ordered this dress in my usual size and unfortunately when it arrived, it was damaged and also a little too big.","fit,shipping"
3,1,the fabric had lots of pulls in it like it had been tried on many times.,quality
3,2,i called customer service and requested a replacement in a smaller size.,fit
3,3,it fit great and looked beautiful but there was a rip in the sleeve.,fit
3,4,"this is a gorgeous dress and very flattering and well fitting (if you size down), but i had to return both and wear something else to a holiday party.",fit
3,5,i'd only recomme,
4,0,"I am 5'2"" and 115lbs......ordered the blue motif in small petite.",fit
4,1,they were not only too big overall but were way too long.,
4,2,i had to roll them up several times to get the right length.,
4,3,because of fabric design these would definitely have to be hemmed.,quality
4,4,i had to check tag because i thought for sure i got sent a regular length but they were petite.,
4,5,not sure if they are worth trying in a smaller size.....,"fit,price"
4,6,pants were really comfy but maybe too pajama like for my taste.,
5,0,"This is a shift dress, which is a great dress for many people, in a kind of man-repeller way.",
5,1,"by saying that, i mean, a really pretty dress that can show off amazing shoes, good legs, a beautiful face and hair.",
5,2,this is not a body con dress.,
5,3,"however, when you do such a high neckline and boxy sleeves, you do no one any favors.",
5,4,everyone has a nice neck and decolletage and collarbone.,
5,5,everyone.,
5,6,"the neckline needs to open up a bit....i'm not saying v-neck, just a bit lower than this, because it makes",
6,0,I ordered a medium and it fit perfectly.,fit
6,1,"i am anywhere from a size 6-8. 5'9, 155lbs.",fit
6,2,"sadly, i am returning this dress because the horizontal stripes make my hips look huge.",
7,0,I love the style of this swimsuit on the model.,
7,1,when i purchased is i didn't realize that there was no support (wire/ padding/ lining) in the chest.,
7,2,the rest of the swimsuit was great but i did not like the look in the chest - it provided no support.,
7,3,i ended up returning it.,
8,0,This is a gorgeous dress.,
8,1,i got the red version.,
8,2,it's stunning...the zipper is trash however.,
8,3,i'm scared of getting stuck in it like another reviewer.,
9,0,I'm a consistent size 6 (ordered a small) with a pretty athletic build (wide shoulders and strong arms) and this dress simply did not fit with those proportions.,"fit,quality"
9,1,the sleeves and back were far too tight.,fit
9,2,"additionally, the bow did not cover my bra strap, likely because it isn't made for someone my height.",
9,3,had to return.,
10,0,"First comment about this piece is that it runs unbelievably small, which is not in line with most retailer pieces.",fit
10,1,"i had to size up two sizes to get the size to close, on top of being busty.",fit
10,2,"the material is thin and mildly see thru, but i think the shape it cute and it had a unique look to it with the tiny gold buttons and non-collar top.",quality
10,3,i decided to keep it.,
11,0,"I picked up this t-shirt at my local retailer today, immediately drawn to the super cute, colorful graphics, and the unique stitching at the collar, saying ""giddy up!",
11,1,"to go with the cowboys, horses, cacti, and movie camera, (unusually!).",
11,2,"the graphics are way cuter in person, as compared to the weirdly wavy-distorted and unclear photos shown online.",
11,3,"if all i had seen was these photos, i would never have even noticed or recognized the design.",
11,4,"go to your local store to see this in person, and you wi",
12,0,This looks great on the model and is probably beat suited for someone that is tall and thin with small hips.,fit
13,0,It really is such a cute romper.,
13,1,took it on s trip to italy and it was airy and comfortable.,
13,2,that is in till i washed it.,
13,3,i'm in europe so there aren't dryers...,
13,4,"washed it in cold water, line-dried it and it shrunk.",
13,5,significantly.,
13,6,it still fits but the top doesn't blouse over like it previously did.,fit
13,7,and the shorts feel really short.,
13,8,so disappointed.,
13,9,my advice would be to hand wash it in very cold water,
14,0,There were no reviews when i ordered this tunic so nothing to help gauge fit.,fit
14,1,it is very cute but the fit is strange - very narrow in the shoulders and chest.,fit
15,0,It's a very pretty top.,
15,1,a little tight in front at the bust.,fit
15,2,i'm giving it 3 stars because the fabric is very flimsy and looks cheap.,"price,quality"
16,0,I love this dress but when i put it on i was aghast!,
16,1,the chest was tight and the body was voluminous!!,fit
16,2,added the pounds which no wants!,
16,3,best left to the waify girls.,
17,0,"If you have muscular thighs, like me, these won't fit well.",fit
17,1,"i'm usually a size 8-fitted/10-relaxed, i bought these in a large and the shins were the most relaxed part.",fit
17,2,had to return for not fitting well.,fit
17,3,but the quality of the product was nice.,quality
18,0,"I love the look of this dress but the length feels a little awkward which might be my height (5'4"").",
18,1,"i'm thinking about having it altered, not sure if i will do that or return it.",
18,2,"i love the colors and the back cut out, it may be a better length for taller individuals.",
19,0,"I got this dress in the mail, and while i loved the concept of it, it really is too boxy.",
19,1,"the tie is very superficial and does not really nip you in at the waist, it is more so for show.",
19,2,"it is fully lined which was interesting, and to me, made the dress seem boxier.",
19,3,"the quality is good, but i am an hourglass and this was completely unflattering.",quality
19,4,"i would have had to size up to make it look like the model shot, but it would have still been a shapeless dress, just bigger.",fit
19,5,"it does fit true to size,",fit
20,0,"So i was super excited to get this skirt, unfortunately it's not what i thought it would be.",
20,1,"the color is much different then what pictured, it has bronze threading and the black on the picture is more gray in real life.",
20,2,"the material isn't so great easier, i thought it would be thicker but instead it's pretty thin and wrinkles easy.",quality
20,3,the design is very cute and it is a flattering shape but the material is just too poor for me to give this a good rating.,quality
20,4,i wouldn't say it's itchy like the other re,
21,0,This is a beautiful and well-made top; sadly it just didn't work for me.,
21,1,i'm 5'1 with a pretty short waist and even on me it was too short.,
21,2,the shortness might've worked if it wasn't as baggy as it was.,
21,3,"i don't mind baggy, loose-fitting tops, but this was so much so that it was just unflattering; it looked a bit boxy as well.",fit
22,0,"I tried this on in a different retailer a couple of weeks ago... ....tried on a different one last night..same size and it looked baggy, sleeves way too long, etc.",fit
22,1,let me add that i am usually a xs/s petite but some regular extra smalls will work also.,
22,2,this was a xs reg.,
22,3,even the sa could see that one looked like it fit smaller ( i showed her the photo in my phone) while this one swallowed me.,fit
22,4,"bottom line, you will need to try this one on as the sizes seem to vary.",
23,0,"I ordered the red version--it is incredibly cute, soft, vibrant, and a flattering a-line.",
23,1,"however, this dress is sized oddly, running at least one or two sizes too small, particularly at the waistband.",fit
23,2,"i ordered my usual size and one size up, and even the larger size was too snug in the waist.",fit
23,3,"yet at the same time, i had some gaping at the straps, and i have a full bust.",
23,4,even worse is the *impossible* side-zipper that is a workout to get past the seam at the waistband.,
23,5,trying to wrestle the zip,
24,0,This is an oversized tee with a somewhat flattering fit.,fit
24,1,material is very thin.,quality
24,2,"i ordered white, which was completely see-through.",
24,3,not at all what i was expecting.,
24,4,"might work better in a darker color, but i returned it since it was nothing special.",
25,0,"Based on other reviews that this top ran large, i ordered this online in two sizes.",fit
25,1,"both seemed to fit alright in my chest (although the chest fit tighter in the smaller size), and both were much too big on the bottom.",fit
25,2,"the front bottom of this shirt has a series of pleats, so the bottom of this top really, really, really flared out away from my hips.",
25,3,"the length seemed fine on me (5'10"").",
25,4,"the material is very thin, and i could see my nude bra through the white pattern.",quality
26,0,"I was really excited to receive this caftan, but it looked very strange on my body.",
26,1,i have small shoulders and the xs was still very big on me.,fit
26,2,there's also a seam along the sides that made me look boxy.,
26,3,"the quality is really great, but i thought that the color seemed a tad bit darker/muted than pictured.",quality
27,0,Overall a very nice and unique dress.,
27,1,"it does have too much going on, but can be worn in a versatile way, and if you are small chested, without a bra.",fit
27,2,"i am not a big fan of the material, i wish it was softer.",quality
27,3,it definitely has a gypsie/bohemian look if that is what you are looking for!,
28,0,I always have to try on tops of retailer.,
28,1,"i know this, and yet i ordered a top through the website anyway.",
28,2,i don't think i'll do it again.,
28,3,the drape of the top seen in the pictures did not translate in real life because the top scratched up pretty quickly.,
28,4,"ironically, when i washed it (according to directions) it also shrunk quite a bit.",
29,0,Good structure and quality; a bit large and wish i had ordered something a bit brighter! (i ordered the white tee.),"fit,quality"
30,0,"So, this is just the most lovely romper.",
30,1,"beautifully made, flowey.",
30,2,"very comfortable, until you have to take it off.",
30,3,this is the review i posted on facebook.,
30,4,"so, no man i know has ever ever ever experienced the abject terror, or maybe has not shared with me, that moment when you cannot get out of, because it has turned into a straight jacket, that otherwise cute romper.",
30,5,"and again, maybe a man invented it!",
31,0,This was very tight in the bust in my typical size.,fit
31,1,"it fit more or less everywhere else, but the material has no give.","fit,quality"
31,2,"so unless you are the precise measurements of the dress, this will be a hard dress to wear.",
31,3,the color is really lovely though!,
32,0,"The fabric is really itchy, i felt like i was wearing a carpet, and it reminded me of the 70's fabric crimplene.",quality
32,1,this will not be comfy in humid weather.,
32,2,the top also had a strange synthetic odor.it was returned.,
33,0,"I was excited to receive this dress because it seemed like a beautiful, breezy dress for summer.",
33,1,unfortunately i didn't find the fit to be very flattering.,fit
33,2,as two other reviewers mentioned there is too much fabric creating an odd bunching especially at the back waistline.,quality
33,3,"i also found the dress to be a little tight across the bustline, upper arms and shoulders.",fit
33,4,the bunching can be improved by pulling the fabric of the dress forward in the front but this creates more of a plunging neckline than i,quality
34,0,I ordered this dress and have sent it back.,
34,1,i think it could be a flattering dress; the waist hit quite a bit above my natural waist which made the entire thing fit weirdly.,fit
34,2,"i am very long waisted, so this might just be a problem for me.",
34,3,i ordered regular size 2.,fit
35,0,"I wish i could keep this dress based on the pretty orange print and style but the fabric and details make this a return, even on sale price :( agree with previous reviews: bodice too tight, neckline too high/chokes, fabric is rough, outer is poorly attached to liner so it poofs in weird areas.","fit,price,quality"
35,1,too bad...so sad!,
36,0,"While the dress is pretty, it's a lot more boring than it seems online.",
36,1,"the box top is actually a completely separate piece, which is kind of neat - you can choose to remove it or not.",
36,2,the box top is very wide (much wider than on the model) and very unflattering!,
36,3,"also, the dress is a stiff silk fabric and doesn't flow like you would think it would.",quality
36,4,returning it!,
37,0,"Loved the look, quality was great, but didn't work for me.",quality
37,1,too busy and off-fitting.,fit
37,2,i did return.,
38,0,"Cute sweater, i really like the grey color.",
38,1,"unfortunately, it was boxy and a little short on me.",
38,2,"almost worth keeping, but even with a t-shirt underneath, i wanted to scratch my skin off.",price
38,3,it's very itchy.,
38,4,mine is going back.,
39,0,I ordered this top in red.,
39,1,"gorgeous color and detail, however just wasn't flattering on my more curvy shape.",
39,2,felt like it looked like a maternity top.,
40,0,Not good for for an hourglass shape.,
40,1,"lots and lots of pretty fabric, but the waist hits just where the hips widen--very bohemian (just no good for a figure 8).",quality
40,2,the sizing is generous.,fit
40,3,"with both elastic and a zipper, there's room to go small if between sizes, be aware: the plunge at the front is wide and dramatic.",fit
40,4,i dropped the hangar in the dressing room and had to clutch fabric close to my reasonably-modest c-cup so as not to spill out.,quality
40,5,would perhaps work on a very narrow person who's completel,
41,0,"I tried on the grey version in store, and it was significantly longer than pictured.",
41,1,"the back came down to just below my knee, which looked awkward with the split sides.",
41,2,"i am 5'4"" and this was a regular (not petite) size.",fit
41,3,"however, the overall quality of the fabric was good and it seemed durable.",quality
42,0,Really wanted to love this top but it was too boxy for me!,
42,1,"really pretty deep wine colors and a great plaid, but overall it did not give me any shape and it was returned,",
43,0,I ordered this in both the white and navy colors - navy being what looks like an ivory background with navy spots.,
43,1,"when i received the blouse, the background on the navy is actually a light grey/beige color that makes the whole top look kind of dingy.",
43,2,"when ordering the navy version, be aware that the product images don't show the true background color on the top!",
