gold_id,model_pred,model_conf
0,neutral,0.477
1,neutral,0.4601
2,negative,0.5132
3,neutral,0.5282
4,positive,0.557
5,neutral,0.5778
6,neutral,0.4916
7,neutral,0.5526
8,neutral,0.5681
9,neutral,0.5181
10,neutral,0.5857
11,neutral,0.7105
12,neutral,0.684
13,negative,0.7083
14,neutral,0.648
15,neutral,0.656
16,neutral,0.651
17,neutral,0.6473
18,positive,0.6199
19,neutral,0.7156
20,neutral,0.608
21,negative,0.6224
22,positive,0.9578
23,positive,0.9276
24,neutral,0.8011
25,positive,0.989
26,negative,0.767
27,negative,0.7483
28,positive,0.8779
29,positive,0.7774
30,negative,0.7471
31,positive,0.9579
32,positive,0.9703
33,negative,0.5218
34,neutral,0.4801
35,neutral,0.5276
36,neutral,0.3742
37,positive,0.4826
38,neutral,0.5031
39,neutral,0.5717
40,neutral,0.5021
41,neutral,0.4563
42,neutral,0.5575
43,negative,0.4902
44,neutral,0.7428
45,neutral,0.7343
46,negative,0.732
47,negative,0.6336
48,neutral,0.6963
49,negative,0.7081
50,neutral,0.6478
51,negative,0.6999
52,neutral,0.7634
53,negative,0.7781
54,negative,0.8726
55,negative,0.7826
56,negative,0.8648
57,positive,0.8874
58,neutral,0.4906
59,neutral,0.5774
60,positive,0.5294
61,neutral,0.5259
62,neutral,0.5812
63,neutral,0.5895
64,neutral,0.4992
65,neutral,0.5712
66,neutral,0.5561
67,neutral,0.5882
68,neutral,0.5454
69,neutral,0.6057
70,positive,0.6145
71,neutral,0.7387
72,neutral,0.7303
73,neutral,0.7444
74,positive,0.6456
75,negative,0.6141
76,neutral,0.7364
77,positive,0.6535
78,neutral,0.6075
79,negative,0.6976
80,neutral,0.7473
81,positive,0.9678
82,neutral,0.7811
83,positive,0.873
84,neutral,0.7538
85,positive,0.8249
86,positive,0.921
87,negative,0.8031
88,positive,0.9269
89,positive,0.9195
90,negative,0.7448
