row_index,textual_label,pred_conf
2,neutral,0.7027458
10,negative,0.669455
14,neutral,0.7736814
16,neutral,0.7502594
23,neutral,0.7538075
25,negative,0.585423
52,neutral,0.7453636
57,neutral,0.57247806
69,neutral,0.6000319
84,positive,0.70367044
96,neutral,0.73700976
108,neutral,0.73826325
121,neutral,0.68687826
122,neutral,0.75528765
128,neutral,0.5511075
139,positive,0.4922312
140,positive,0.8800889
147,neutral,0.77397585
148,neutral,0.77632
149,negative,0.73765963
152,negative,0.48636603
186,neutral,0.57154596
191,neutral,0.65229166
192,neutral,0.57249177
193,negative,0.87113804
196,neutral,0.70501757
230,positive,0.6764308
235,neutral,0.7565751
237,positive,0.53641284
248,neutral,0.7692283
252,neutral,0.6323129
259,neutral,0.760721
267,negative,0.84306365
282,neutral,0.77747685
292,positive,0.9959254
299,neutral,0.7256387
300,negative,0.72016835
302,neutral,0.7107978
317,negative,0.5740054
330,positive,0.98820144
334,neutral,0.64236474
343,neutral,0.7634354
344,neutral,0.73301476
347,neutral,0.70621663
361,neutral,0.55560434
366,negative,0.5079861
368,negative,0.8319836
377,neutral,0.53427863
379,neutral,0.722187
380,neutral,0.7469679
381,neutral,0.6256708
386,neutral,0.5880614
390,neutral,0.61293
403,neutral,0.6045209
407,neutral,0.6678821
429,neutral,0.77024615
430,neutral,0.72183865
444,positive,0.8289359
452,neutral,0.6497023
462,positive,0.96547383
479,negative,0.5623706
481,neutral,0.78418225
487,neutral,0.7862585
494,neutral,0.7562686
506,positive,0.9801917
510,neutral,0.6910071
511,positive,0.9971523
524,positive,0.7518029
526,neutral,0.70160717
550,neutral,0.6452512
553,neutral,0.8233072
554,neutral,0.77954805
567,neutral,0.7826936
569,neutral,0.47488582
577,neutral,0.64388555
580,neutral,0.6901003
592,neutral,0.6525184
604,neutral,0.4930706
640,positive,0.6569525
646,neutral,0.7833241
656,neutral,0.63819903
664,neutral,0.5680496
670,positive,0.96815765
673,neutral,0.6819156
696,neutral,0.7615524
701,negative,0.50918245
703,positive,0.91939956
709,neutral,0.5011239
713,neutral,0.7525469
718,neutral,0.49628142
725,negative,0.47521946
726,neutral,0.5739354
730,neutral,0.52254593
746,neutral,0.8056467
750,neutral,0.58162963
753,neutral,0.6723262
757,neutral,0.5882137
769,positive,0.99112636
774,neutral,0.6685491
776,neutral,0.6330362
780,neutral,0.66860235
787,negative,0.6692837
789,neutral,0.49956635
792,neutral,0.762845
803,neutral,0.61543584
819,neutral,0.7249288
823,neutral,0.66197413
836,neutral,0.70330673
854,neutral,0.5892356
861,neutral,0.7317077
862,negative,0.75993127
863,neutral,0.76614046
874,neutral,0.5256157
886,positive,0.9248475
893,neutral,0.68056756
896,neutral,0.6176082
904,neutral,0.50924873
914,neutral,0.81015646
924,neutral,0.64754367
926,negative,0.7110978
938,neutral,0.7561997
950,negative,0.7235322
951,neutral,0.7076954
952,neutral,0.62424123
961,neutral,0.5474465
970,positive,0.7661048
973,neutral,0.754136
988,neutral,0.7436865
1009,neutral,0.71585643
1012,neutral,0.57609296
1032,neutral,0.7435217
1046,neutral,0.71026045
1048,neutral,0.7086417
1050,neutral,0.5164719
1061,neutral,0.6398274
1066,positive,0.5470478
1067,neutral,0.61935854
1072,positive,0.506748
1077,neutral,0.6601073
1086,neutral,0.7138838
1088,neutral,0.6441298
1094,neutral,0.4859501
1095,neutral,0.7135506
1097,neutral,0.77212083
1102,neutral,0.5965519
1104,neutral,0.7412636
1111,negative,0.59514797
1122,neutral,0.5473478
1129,neutral,0.7440574
1131,negative,0.50605977
1136,negative,0.70667106
1137,neutral,0.6894952
1140,positive,0.9973959
1142,negative,0.59359914
1151,neutral,0.58517176
1152,positive,0.98981744
1168,neutral,0.6240329
1169,neutral,0.52973783
1175,positive,0.6379754
1183,neutral,0.77541494
1187,negative,0.66425055
1192,neutral,0.531616
1212,neutral,0.51163834
1217,negative,0.657909
1226,neutral,0.77330077
1238,neutral,0.82740366
1243,neutral,0.67210615
1270,neutral,0.55375224
1278,neutral,0.736736
1279,neutral,0.7249173
1297,neutral,0.7758492
1299,neutral,0.6133853
1302,positive,0.9440577
1304,negative,0.83152443
1313,neutral,0.79941875
1317,neutral,0.7893686
1341,neutral,0.71468437
1353,neutral,0.654504
1359,neutral,0.7171441
1371,neutral,0.61697084
1373,neutral,0.65041
1379,neutral,0.7509672
1380,positive,0.6537813
1396,positive,0.65734464
1399,neutral,0.78407997
1400,neutral,0.7349136
1401,neutral,0.6332802
1404,neutral,0.63939404
1411,negative,0.7377215
1415,positive,0.8781628
1428,neutral,0.7276889
1431,negative,0.5248123
1434,positive,0.76476276
1439,positive,0.949455
1441,neutral,0.74391174
1444,neutral,0.72949004
1449,positive,0.57903755
1451,positive,0.8747692
1458,neutral,0.48468366
1463,negative,0.6574239
1468,neutral,0.71980834
1474,negative,0.77960974
1481,neutral,0.62378204
1496,neutral,0.70801187
1498,neutral,0.75120735
1508,neutral,0.7836806
1513,neutral,0.6447452
1528,neutral,0.675657
1537,neutral,0.6947736
1541,neutral,0.70019126
1542,neutral,0.67796546
1562,neutral,0.6654338
1579,neutral,0.6736459
1581,neutral,0.76520836
1585,negative,0.664241
1594,neutral,0.65147835
1595,positive,0.60276663
1598,neutral,0.7853077
1600,neutral,0.7908605
1602,negative,0.5720449
1605,neutral,0.6400524
1619,neutral,0.78885967
1626,positive,0.5001785
1629,neutral,0.72691095
1644,positive,0.56559324
1646,neutral,0.6168028
1667,neutral,0.60460997
1680,neutral,0.6215531
1684,neutral,0.57160914
1696,neutral,0.61996675
1697,neutral,0.7320145
1708,positive,0.6969272
1715,neutral,0.66073936
1724,neutral,0.6318726
1749,negative,0.4995376
1752,neutral,0.6605434
1755,neutral,0.789526
1758,neutral,0.7540392
1770,neutral,0.5926723
1780,neutral,0.7585543
1791,negative,0.71624017
1802,positive,0.98989797
1830,neutral,0.58172005
1839,neutral,0.7380661
1843,neutral,0.60713196
1864,negative,0.70362544
1872,neutral,0.65987843
1875,neutral,0.6395579
1890,positive,0.5651963
1893,neutral,0.81747836
1934,neutral,0.7688386
1939,neutral,0.73353416
1950,neutral,0.75108415
1955,neutral,0.75261754
1965,neutral,0.73690194
1969,positive,0.9719497
1971,negative,0.7988637
1989,neutral,0.47376338
1999,neutral,0.64542025
2014,neutral,0.750324
2030,neutral,0.46238515
2032,neutral,0.5863959
2033,neutral,0.66000736
2043,neutral,0.5452351
2048,positive,0.98356485
2053,negative,0.79955256
2062,neutral,0.7431027
2067,neutral,0.66896325
2073,neutral,0.55858254
2078,negative,0.77405536
2080,neutral,0.6845794
2081,neutral,0.6810759
2106,negative,0.7593202
2123,negative,0.7088171
2132,neutral,0.6909345
2146,neutral,0.7500196
2154,neutral,0.6555985
2156,neutral,0.6714335
2177,neutral,0.7611242
2181,negative,0.83704424
2201,neutral,0.8023571
2206,negative,0.71326184
2210,positive,0.63316476
2221,neutral,0.6894478
2225,positive,0.87565905
2229,neutral,0.74772763
2234,neutral,0.739218
2238,neutral,0.65885127
2241,neutral,0.641287
2242,neutral,0.7434555
2246,positive,0.9184709
2252,neutral,0.6134874
2255,neutral,0.48394078
2259,neutral,0.70355237
2264,neutral,0.69884115
2272,neutral,0.7809326
2279,neutral,0.6210408
2281,neutral,0.70079845
2293,negative,0.8103363
2295,neutral,0.6574909
2300,neutral,0.6751738
2302,neutral,0.64993465
2303,positive,0.8011263
2314,neutral,0.7007446
2316,positive,0.8242836
2317,positive,0.48218045
2324,positive,0.94784015
2329,neutral,0.75682956
2339,positive,0.627757
2343,neutral,0.76622427
2352,neutral,0.56092805
2356,neutral,0.77622867
2381,neutral,0.682895
2383,negative,0.73837537
2399,negative,0.53201705
2407,neutral,0.77346426
2410,neutral,0.47689208
2414,neutral,0.6342639
2421,negative,0.8558108
2427,neutral,0.70485646
2439,neutral,0.49615702
2453,neutral,0.6582741
2462,neutral,0.53164077
2466,negative,0.88935435
2468,neutral,0.72190964
2475,neutral,0.5974478
2488,neutral,0.48207542
2493,neutral,0.4938661
2504,neutral,0.69642234
2505,neutral,0.7848317
2524,neutral,0.74797064
2528,neutral,0.5007962
2529,neutral,0.62493485
2545,neutral,0.77245015
2554,neutral,0.6639512
2564,positive,0.9638244
2571,negative,0.8414864
2575,negative,0.7643548
2576,neutral,0.7391857
2580,neutral,0.57570785
2604,neutral,0.64619505
2627,neutral,0.66971076
2650,neutral,0.7922094
2668,positive,0.8838883
2670,neutral,0.6560071
2676,neutral,0.6894189
2685,neutral,0.51820636
2693,neutral,0.707316
2694,neutral,0.66791207
2703,neutral,0.7721272
2708,neutral,0.5784804
2714,neutral,0.6755495
2721,neutral,0.7942604
2723,neutral,0.780088
2724,neutral,0.5517494
2732,neutral,0.6817503
2733,positive,0.8049259
2746,neutral,0.58873785
2753,neutral,0.5709094
2764,negative,0.70929235
2767,neutral,0.5138614
2779,neutral,0.76003224
2780,neutral,0.64477414
2810,neutral,0.7354112
2819,neutral,0.5241345
2829,positive,0.99732083
2868,neutral,0.75444824
2881,negative,0.65361524
2887,positive,0.5389446
2897,negative,0.8023399
2901,neutral,0.48620594
2908,positive,0.9940619
2910,neutral,0.79195076
2914,neutral,0.5834345
2915,neutral,0.62800837
2928,neutral,0.6996317
2929,positive,0.75707954
2960,negative,0.58428127
2964,positive,0.9589468
2967,neutral,0.70484686
2972,negative,0.52718586
2986,negative,0.5223218
2999,neutral,0.7532566
3020,positive,0.9666842
3030,neutral,0.6105427
3072,neutral,0.5629032
3074,neutral,0.5687035
3082,negative,0.49731117
3087,neutral,0.72218645
3097,neutral,0.73698956
3098,positive,0.78566235
3132,neutral,0.7263176
3136,neutral,0.6973376
3141,neutral,0.7433968
3166,positive,0.9652766
3170,neutral,0.5370506
3174,neutral,0.75491124
3182,neutral,0.46678936
3195,negative,0.677028
3214,neutral,0.613659
3217,neutral,0.7361459
3236,neutral,0.7294366
3237,negative,0.66363394
