row_index,sentence_id,aspect,sentence,proxy_label,rating,label_source
2,1,fit,i initially ordered the petite small (my usual size) but i found this to be outrageously small.,neutral,3,model_relabel
2,2,fit,so small in fact that i could not zip it up!,neutral,3,model_relabel
2,4,fit,"overall, the top half was comfortable and fit nicely, but the bottom half had a very tight under layer and several somewhat cheap (net) over layers.",neutral,3,model_relabel
2,4,price,"overall, the top half was comfortable and fit nicely, but the bottom half had a very tight under layer and several somewhat cheap (net) over layers.",neutral,3,model_relabel
5,2,shipping,this dress was very pretty out of the package but its a lot of dress.,negative,2,rating
5,3,fit,the skirt is long and very full so it overwhelmed my small frame.,negative,2,rating
6,2,fit,"it is a little baggy on me and hte xs is hte msallet size (bummer, no petite).",positive,5,rating
7,4,fit,"also a bit loose for me, but no xxs...",positive,4,rating
7,5,fit,so i kept it and wil ldecide later since the light color is already sold out in hte smallest size...,positive,4,rating
8,1,fit,i usually get an xs but it runs a little snug in bust so i ordered up a size.,positive,5,rating
9,3,fit,"if you're less busty (34b cup or smaller), a s petite will fit you perfectly (snug, but not tight).",positive,5,rating
9,5,quality,i love that the tulle is longer then the fabric underneath.,positive,5,rating
10,0,fit,Dress runs small esp where the zipper area runs.,negative,3,model_relabel
10,1,fit,i ordered the sp which typically fits me and it was very tight!,negative,3,model_relabel
10,2,price,the material on the top looks and feels very cheap that even just pulling on it will cause it to rip the fabric.,negative,3,model_relabel
10,2,quality,the material on the top looks and feels very cheap that even just pulling on it will cause it to rip the fabric.,negative,3,model_relabel
12,2,quality,"the dress is beautifully made, lined and reminiscent of the old retailer quality.",positive,5,rating
12,3,quality,it is lined in the solid periwinkle-colored fabric that matches the outer fabric print.,positive,5,rating
12,4,fit,tts and very form-fitting.,positive,5,rating
13,1,fit,"my stats are 34a-28/29-36 and the xs fit very smoothly around the chest and was flowy around my lower half, so i would say it's running big.",positive,5,rating
14,2,fit,the size small fit me well - i am usually a size 2/4 with a small bust.,neutral,3,model_relabel
14,3,fit,in my opinion it runs small and those with larger busts will definitely have to size up (but then perhaps the waist will be too big).,neutral,3,model_relabel
14,4,quality,the problem with this dress is the quality.,neutral,3,model_relabel
