review,true_sentiment,aspect_sentiments
tried dress store absolutely fell love bigger gal busty wider hip dress made look feel slimmer light wear dress perfect length dress hit right ankle looking long dress wear either formal casual one perfect,positive,{'fit': 'positive'}
really excited receive dress fun concept different anything else however dress way short ft size medium way short given thin nature material not feel comfortable keeping dress even wearing outside office return dress,neutral,"{'quality': 'positive', 'fit': 'positive'}"
love top tassel not big material thick wish little longer though,positive,{'quality': 'positive'}
eyeing top online decided hit local retailer try adorable spring tunic think run size larger usual size reference pd small busted bought size fit perfect machine wash hang dry happy purchase,positive,{'fit': 'positive'}
great luck item sunday brooklyn vest another fantastic purchase color fit match photo material soft worn quite bit since received pilled washed well braided part folded want higher neck still lay flat drape nicely perfect cold weather love see come color,positive,"{'quality': 'positive', 'fit': 'positive'}"
gorgeous dress perfect something special paired black heel run touch large normally wear small pound expecting sized medium roomy sleeve cap little much pretty care def keeper,positive,{'fit': 'positive'}
truly unwearable slip scratchy fabric bunchy skirt teeny bodice feel like wearing wrapping paper foil kind,negative,{'quality': 'positive'}
like another reviewer initially passed sweater thought nothing noticed display super cute ultra comfy kind sweater beckons warn fall purchased olive color love cute flattering poncho type sweater think run bit large sized perfect fit highly recommend item,positive,{'fit': 'positive'}
top beauitiful gorgeous detailing eyelet lace black flower appliqu silver bead tiny rose gold sequin front true size lb b took usual size slit come bit far side like another reviewer noted not really enough problem find necessary get petite size top going wait markdown since top still pricey even discount resist,positive,"{'price': 'positive', 'fit': 'positive'}"
fit true size well hit leg good length perfect,positive,{'fit': 'positive'}
fit much better expected made comfortable lightweight fabric not substantial great summer worried would roomy hip area cut rather flattering great deal sale price,positive,"{'quality': 'positive', 'price': 'positive', 'fit': 'positive'}"
top beautiful received many compliment fit complimenting would continue wear often except fabric unraveling bottom lace raw edge would expect fraying top shedding long streak material wear throughout entire top strand lace unraveling exactly great look,positive,"{'quality': 'positive', 'fit': 'positive'}"
love fit feel quality realize new improved fabric denim weave almost no stretch usually wear wish purchased accommodate weight fluctuation great thing style not stretch stress point unattractively,positive,"{'quality': 'positive', 'fit': 'positive'}"
worn skinny jean espadrille untucked black linen short also wore tucked high waisted slim fit black pant got compliment look think fun cheerful feminine summer top got mine sale thought fair price paid full retail requires ironing size small,positive,"{'price': 'positive', 'fit': 'positive'}"
obsessed peplum coat one usually see no shape extremely unflattering excited arrive quite nice look feminine coat coat run true shirt size not want coat returning size want wear sweater least maybe thicker shirt especially winter fall fabric decent weigh,positive,"{'quality': 'positive', 'fit': 'positive'}"
gorgeous purchased red color glowing warm complexion cool undertone,positive,{}
super light soft worn expect wear jean cute comfy lb bought small fit well,positive,{'fit': 'positive'}
great light weight blouse mild fall day fabric thin not warm great southern california fall great color palate,positive,"{'quality': 'positive', 'delivery': 'positive'}"
dress flattering beautiful person love,positive,{}
oot dress blue fit great hit knee not short awkwardly long wish short sleeve could wear one summer beautiful easy wear work fun,positive,{'fit': 'positive'}
saw store immediately try fit perfectly usually size dress small fit perfectly look expensive high quality print unique love wear winter time layered say black turtle neck black tights think also worn spring especially flower print,positive,"{'quality': 'positive', 'price': 'positive', 'fit': 'positive'}"
size size figure apple ish pull peplum top tight shape flare unflattering spot rule go window tankini first swimsuit supposed tight problem eliminated right away second flare perfect woman want hide tummy like swimsuit generally tight tummy area like hide,positive,{'fit': 'positive'}
cute hesitant buy glad unique cut fit tighter body flattering purchased xx petite blue color blue seems gray side mottled really pretty neckline come way shown detail neckline ruffle shown bias really cool love pair skirt jean adorable,positive,{'fit': 'positive'}
love light blue gorgeous color thought might chambray happy not also stitched top no awkward accidental peep show need annoying tape,positive,{}
ordered larger size run bit tight around top zipper helpful,positive,{'fit': 'positive'}
lb ordered blue motif small petite not big overall way long roll several time get right length fabric design would definitely hemmed check tag thought sure got sent regular length petite not sure worth trying smaller size pant really comfy maybe pajama like taste,neutral,"{'quality': 'positive', 'price': 'positive', 'fit': 'positive'}"
love dress took ordering number size petite regular find best fit might still top altered received lot compliements work black leather wedge daytime work,positive,{'fit': 'positive'}
tried local store immediately buy picture not justice drape wonderfully front stick bit pocket give added personality fabric soft light weight highly recommend,positive,{'quality': 'positive'}
love crochet detail back yes show bottom band bra think okay magenta colored bra tried nice pop color think top run tt slightly big size would go b ordered size tried think would fit not quite loose arm hole area sure top sell hit sale,positive,{'fit': 'positive'}
tried x store online return loved tailoring shoulder seam bit tight usually top ordered flowy like mentioned still tailored top flattering also versatile wore wide leg denim wedge well cut short boot complaint others mentioned almost immediate pilling even wash sad love keep give little extra tlc,positive,{'fit': 'positive'}
,positive,{}
absolutely love dress great quality fit perfectly,positive,"{'quality': 'positive', 'fit': 'positive'}"
,positive,{}
pullover great purchase color simply stunning comfortable,positive,{}
ordered online hedging bet size chose x broad shoulder muscular arm wear anything size depending brand gamble paid beautiful sweater soft comfortable nice drape suspect finer boned petite customer might complain swimming worked well,positive,{'fit': 'positive'}
con would long even petite long otherwise no complaint love comfortable fold waist band ah planning wear long flight help look put together keep leg warm always freeze airplane plus feel good must wear flat sandal tried wedge worked well not sure hem not might wait till washing lovely ordered typical px,positive,{}
taken since got since ordered two color definitely sheer blue see though expect lighter color distressed look super soft comfy perfect wear work clothes dressed jean really nice summer top hot day xx perfect drapey not baggy flattering strap,positive,{}
sheer lightweight perfect summer great detail could not justify paying full price,neutral,{'price': 'positive'}
many different color stripe versatile wear year around hold well washing love tank top,positive,{}
love white summer august tired wearing sleeveless caught eye easy wear pretty wore black tie shoe accessory super comfy stylish,positive,{}
,positive,{}
ordered p last year prob could worn p ordered p p year past couple year pilcro stet jean white fit cut straighter not curvy year neither size fit year cut changed curvier fit waist work curvier probably good fit change,neutral,{'fit': 'positive'}
ordered orange plaid version size fit like model true size peplum comfortable plaid see no extra layer tank needed neckline low well made great choice summer,positive,"{'quality': 'positive', 'fit': 'positive'}"
ever search light white summer top not quite two distinct layer scratchy starchy type gauze would roast summer sun run fairly hot general,neutral,{}
need little careful unique popcorn stitch make attractive statement sweater lb little surprised cropped cut size small compared appears photographed model,positive,{'fit': 'positive'}
love blazer feel like sweater formal structure blazer great fall,positive,{}
top small usually size small tight around top arm hole short also notice said sheer see description definitely requires another shirt underneath,negative,{'fit': 'positive'}
fabric nothing special usually like cotton silk blend woven fabric stiff feeling pattern cute made return fact rose gold glitter dot puffy paint literally puffy paint dot not quite dry top arrived part paint came finger top stuck could barely unfold sure could cute want top look lik,negative,"{'quality': 'positive', 'delivery': 'positive'}"
adorable comfortable loving flattering mid rise stated no flare depicted photo still super cute nice flat easy dress sexy heel,positive,{}
always bought p petite anymore bought r knowing hit ankle instead cropped cute ankle length flare issue r tight around crotch upper thigh tight fit right not enough stretch comfortable sitting wonder stretch bit wear ordered r see fit better fit tad loose ev,neutral,{'fit': 'positive'}
looking top wear chic not dressy top fit bill sleeve embellishment give feminine touch paired skinny black ankle pant black heel received lot compliment comfortable easy wear long night run big recommend sizing also side slightly sheer wore black tank underneath without problem great top,positive,{'fit': 'positive'}
bought top local retailer burgundy color beautiful feminine want get color store also black one available line bought size sometimes get top petite felt reg size fit fine,positive,{'fit': 'positive'}
bit wide torso detail bottom shirt make,positive,{}
wanted great pair sweater legging great running errand keeping outfit simple not fit poorly ordered small like large one waistline nothing hold could fit two unfortunately thought would fine discarded receipt worn time,negative,{'fit': 'positive'}
great peplum top beautiful whine color thick material hourglass figure top flattering,positive,{'quality': 'positive'}
cute stripe soft pajama top like feel look like wear people assume got matching bottom stuck pillow home,neutral,{}
top great purchase even though bit expensive love color fit,positive,"{'price': 'positive', 'fit': 'positive'}"
